30,240
46,547
62,893
78,1711
94,2442
110,3092
126,4338
142,4801
158,6458
174,6880
190,8325
206,10512
222,12750
238,14473
254,15637
270,17704
286,21520
302,21643
318,26324
334,27395
350,30391
366,31502
382,37416
398,38690
414,42154
430,44845
446,49997
462,53994
478,57531
494,62618
510,62903
526,70542
542,76130
558,77059
574,79763
590,88490
606,91829
622,96258
638,98601
654,105691
670,109851
686,111422
702,126190
718,131984
734,132601
750,133337
766,147135
782,151719
798,160218
814,168314
830,167943
846,176054
862,180933
878,197642
894,204078
910,205637
926,208608
942,221437
958,225670
974,231964
30,240
46,547
62,893
78,1711
94,2442
110,3092
126,4338
142,4801
158,6458
174,6880
190,8325
206,10512
222,12750
238,14473
254,15637
270,17704
286,21520
302,21643
318,26324
334,27395
350,30391
366,31502
382,37416
398,38690
414,42154
430,44845
446,49997
462,53994
478,57531
494,62618
510,62903
526,70542
542,76130
558,77059
574,79763
590,88490
606,91829
622,96258
638,98601
654,105691
670,109851
686,111422
702,126190
718,131984
734,132601
750,133337
766,147135
782,151719
798,160218
814,168314
830,167943
846,176054
862,180933
878,197642
894,204078
910,205637
926,208608
942,221437
958,225670
974,231964
